전체주중주말,주운행선,Date,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원
주말,경부선,2018-07-01,27182,1436244,1394284,446129.3811610536,33450.53989327756,433311.8621832989,12.617638663960621,173.41597689047285,7.936062627615979,0,221,0,7,214,65,65,104,1580,11473.585259751706
주말,경부선,2018-08-01,27208,1437556,1402150,452172.72097063216,34005.76722580349,441134.39640062995,12.677217663718205,172.90368041228945,8.108534173214892,0,223,0,7,216,65,65,104,1580,11536.809471556999
주말,경부선,2018-09-01,30004,1585170,1512656,477330.8153307404,35400.36952421505,456087.3985918548,13.365915249988838,188.79763679112983,8.26045542,0,267,39,44,184,70,70,112,1758,12052.90014075655
주말,경부선,2018-10-01,25824,1364876,1566246,405328.69522329175,30395.399537884143,464200.93247863767,13.76819976437736,160.01486816764265,8.504946246533805,0,247,0,48,199,60,60,96,1512,12428.214625736047
주말,경부선,2018-11-01,27960,1477340,1776621,435436.73183095356,32627.05127,523360.0147816636,15.629426055774221,173.49112200888698,9.581611185008237,0,268,0,52,216,65,65,104,1636,14113.051247279825
주말,경부선,2018-12-01,30156,1593082,1694698,475642.8158,35863.61428,505678.8413462723,14.890914571467805,185.74271143149673,9.302221441752284,0,288,0,56,232,70,70,112,1766,13435.66077828981
주말,경부선,2019-01-01,25728,1359536,1319758,403632.08134141954,30393.858341981228,392063.0793400569,11.651863195790341,159.3730387026148,7.205804625232129,0,239,0,30,209,60,60,96,1500,10565.444422279092
주말,경부선,2019-02-01,25668,1356386,1303534,415436.92355429824,31145.477640561912,399123.5585863057,11.533899699833436,160.08625331987554,7.307250994829383,0,212,32,30,150,60,60,96,1490,10501.669852182014
주말,경부선,2019-03-01,32040,1693270,1748962,490845.42862360814,37046.188113401666,507581.74171600596,15.497669455254055,198.82081326580146,9.358321283794666,0,278,0,30,248,75,75,120,1860,14111.68428772884
주말,경부선,2019-04-01,25632,1354861,1537327,392676.78137527086,29692.101335443673,445529.9198307162,13.615189773754345,158.69746102155747,8.228255086,0,223,0,24,199,60,60,96,1488,12398.526176626123
주말,경부선,2019-05-01,27752,1466774,1671525,426757.4199458849,32206.40278795296,486521.0397353452,14.813799232819672,172.27675251774286,8.970464583384476,0,241,0,26,215,65,65,104,1610,13497.79088707579
주말,경부선,2019-06-01,29942,1582215,1626322,476775.58540169644,35612.07753171777,490017.0674857726,14.390539967835217,187.45910147113156,8.941299857,0,262,0,28,234,70,70,112,1739,13094.724303350897
주말,경부선,2019-07-01,25644,1355060,1331863,423551.4537066038,31103.598645971495,415714.8858771232,11.802137633209432,163.4469076408021,7.458725615908616,0,222,0,24,198,60,60,96,1488,10753.246426263084
주말,경부선,2019-08-01,29920,1581549,1562505,492046.0552271746,36736.39473544076,485952.6432,13.838366372662792,187.55572862004982,8.862812139035782,0,260,0,28,232,70,70,112,1736,12611.353965735774
주말,경부선,2019-09-01,27808,1469740,1444086,458759.45371341624,33534.080247309525,449944.2864828563,12.774728576043263,177.87482336399154,8.029990953493623,0,226,34,26,166,65,65,104,1616,11621.595804688877
주말,경부선,2019-10-01,25648,1355628,1466501,417076.39075607405,30608.773884273385,451066.1177763908,12.979678348988243,163.54370398136737,8.088175983,0,222,0,24,198,60,60,96,1488,11826.215807123132
주말,경부선,2019-11-01,27862,1473285,1761004,483108.7413627122,35319.337631921364,580053.7013795433,16.81862821372184,191.52026623960708,10.357604786540243,0,241,0,18,223,70,70,112,1609,15439.184754800259
주말,경부선,2019-12-01,27660,1461934,1620258,450039.9782,33269.115335868206,498008.6862138964,14.404435132305817,175.90884030283055,8.989711747546478,0,238,0,24,214,65,65,104,1606,13115.796212558049
주말,경부선,2020-01-01,27832,1471118,1448925,456633.99060603307,33593.55844746465,449404.59275177785,12.802463245126471,176.73769523991052,8.072650733552615,0,201,35,0,166,65,65,104,1616,11657.029339058028
주말,경부선,2020-02-01,27788,1468824,791268,457624.99426321563,32895.188389015006,246794.6948630066,7.0096780127474085,180.9166470621314,4.344347526733712,0,217,0,0,217,65,65,104,1612,6387.466491232488
주말,경부선,2020-03-01,27112,1433720,345898,441984.6810193591,31431.961473938485,105767.69825704546,3.143820757899844,182.83364459140358,1.8392461878317472,0,211,0,0,211,65,65,104,1564,2881.580042893237
주말,경부선,2020-04-01,23376,1235760,472798,407061.2621108069,29028.76348784917,153517.9978720935,4.5479250090655405,168.30117752691064,2.6808672029812097,0,193,0,0,193,60,60,96,1352,4157.907407407408
주말,경부선,2020-05-01,29220,1544910,917668,514738.04479333595,37162.96730201199,303250.9567059498,8.860834565205089,207.8099420805862,5.357667887015641,0,244,0,0,244,75,75,120,1690,8100.693837279903
주말,경부선,2020-06-01,24996,1321745,835542,407427.95957592456,29426.19592429912,256175.08523386458,7.577146324929168,166.1537453754162,4.525028795246624,0,195,0,0,195,60,60,96,1442,6944.925127798343
주말,경부선,2020-07-01,27652,1462160,1003247,435848.2272901713,32561.37292093101,298510.1111096845,8.927601201199824,174.06942962628514,5.443215563861008,0,206,0,0,206,65,65,104,1594,8188.7911158117395
주말,경부선,2020-08-01,29804,1576054,941530,469927.11601460655,35258.31750754003,281726.74244582484,8.368158992602531,186.81249054367393,5.190752167297483,0,229,0,0,229,70,70,112,1718,7676.387361184558
주말,경부선,2020-09-01,25536,1350836,579649,388514.61251818074,27830.947910732666,166186.52484280587,5.154263360129488,167.56103034148325,2.9058882126902685,0,196,0,0,196,60,60,96,1472,4729.820333
주말,경부선,2020-10-01,29840,1578212,958859,476109.7824961225,34210.71592367571,286947.16966745513,8.513275644408694,194.7802482959105,5.0524829799765065,0,213,33,0,180,70,70,112,1720,7811.216023268112
주말,경부선,2020-11-01,27652,1462424,1032156,426641.1604785119,31570.803945133524,301159.9004739867,9.180338299799125,175.7383559109445,5.4437306535784185,0,195,0,0,195,65,65,104,1594,8422.254494976203
주말,경부선,2020-12-01,25536,1350650,516540,387711.9746,28124.369199971654,147643.67292175282,4.593710972230454,165.4698452136723,2.6126409863294575,0,195,0,0,195,60,60,96,1472,4214.761501850872
주말,경부선,2021-01-01,31920,1688359,675495,491773.20304104383,35059.65552265047,195998.9775130117,6.007788073782007,210.43045906604277,3.409840706820153,0,233,0,0,233,75,75,120,1840,5512.337652
주말,경부선,2021-02-01,25572,1352436,706312,408404.5798417986,29120.104216695872,212325.58162671802,6.271969302398362,168.23093431165907,3.705413209667042,0,166,33,0,133,60,60,96,1474,5754.491671073506
주말,경부선,2021-03-01,25536,1350712,834890,392848.75974439544,28054.51788272955,242517.58333041158,7.423863571568708,168.05928737205903,4.227314230492728,0,185,0,0,185,60,60,96,1472,6811.831306187202
주말,경부선,2021-04-01,27716,1465770,971002,431460.9833617364,30727.117323282466,285056.6093810053,8.619865170257748,182.56017301097168,4.959206525229987,0,207,0,0,207,65,65,104,1602,7889.3780396699485
주말,경부선,2021-05-01,29804,1576364,1104996,469365.7560792081,33729.62024136573,328477.9755195416,9.821172679347924,194.8440094951217,5.765581247804918,0,219,0,0,219,70,70,112,1718,9011.170676890533
주말,경부선,2021-06-01,25536,1350774,973204,402819.1685,29090.03991,289927.1877645377,8.651880271,166.20919406714978,5.114310080188472,0,188,0,0,188,60,60,96,1472,7939.132998413537
주말,경부선,2021-07-01,29884,1580030,888456,461930.896,33349.456965017875,259371.09842430268,7.882643413009554,193.94944957532857,4.572049428,0,228,0,4,224,70,70,112,1728,7209.658683991841
주말,경부선,2021-08-01,27860,1474700,763214,430384.48177256784,31045.24361966487,221945.08973084064,6.732382735243184,180.26290808506081,3.9071954596884106,0,229,0,0,229,65,65,104,1620,6128.379544290835
주말,경부선,2021-09-01,25764,1363764,776239,396300.8453804343,28051.856256007166,224844.89091693636,6.835195106,169.49808105067305,3.8882625811548572,0,182,42,0,140,60,60,96,1498,6222.460061443932
주말,경부선,2021-10-01,32160,1702364,1287633,499516.41068371653,36066.703258432724,377449.2346189455,11.347252263002327,207.7956841159431,6.652265030412838,0,255,0,0,255,75,75,120,1870,10329.979774705582
주말,경부선,2021-11-01,25728,1361792,1284344,402865.7934111556,29215.45421,379813.6579818816,11.320471917299454,165.48818072925087,6.726914844065983,0,191,0,0,191,60,60,96,1496,10304.745135688685
주말,경부선,2021-12-01,27860,1474638,1134901,432072.86953222984,31474.633324297967,332217.85619008844,10.011499902459626,178.48729203547924,5.907436881034741,0,198,0,0,198,65,65,104,1620,9112.870712
주말,경부선,2022-01-01,29872,1581464,1034298,474789.90673438506,34109.52173053993,309335.96892526705,9.174812021436987,194.88385728816462,5.441429719984336,0,200,42,0,158,70,70,112,1724,8427.528782551391
주말,경부선,2022-02-01,25728,1361792,819772,402301.26351358567,29281.975811301665,241585.9348094908,7.2274537316718845,164.8992885639226,4.292755871350552,0,184,0,0,184,60,60,96,1496,6578.895161290323
주말,경부선,2022-03-01,25728,1361792,830548,392641.3789937884,28080.20998467379,238894.51740447892,7.324564556553449,167.8106394536651,4.172593231247226,0,183,0,0,183,60,60,96,1496,6667.202508960574
주말,경부선,2022-04-01,30028,1589394,1376311,461089.93549642764,33243.81861438377,398834.2322278383,12.127877259480407,194.1840514455632,7.021926098630061,0,212,0,0,212,70,70,112,1746,11039.84229390681
주말,경부선,2022-05-01,27860,1474700,1618490,426084.40448867483,31204.517841057746,467508.3566829403,14.269076969438824,177.52864644606333,8.360157120740118,0,208,0,0,208,65,65,104,1620,12989.187916026625
주말,경부선,2022-06-01,25728,1361792,1429347,398865.3141301157,29271.917459211738,418243.02987016685,12.596203163425638,163.5448087346286,7.493711997979196,0,189,0,0,189,60,60,96,1496,11466.111495135689
주말,경부선,2022-07-01,32142,1701347,1702185,506509.4003462171,37265.532348087785,506633.6222401064,15.012968475131519,203.9382782172365,9.102509368472694,0,255,0,0,255,75,75,120,1869,13666.032879372573
주말,경부선,2022-08-01,25512,1350332,1334406,410843.9822664844,30349.43421941212,405446.81562216557,11.86209035793259,162.47375831796472,7.311270863664661,0,208,0,0,208,60,60,96,1484,10793.453398373984
주말,경부선,2022-09-01,27698,1466167,1515904,437384.7527884635,31658.285402547797,451289.1523066324,13.44504039759468,179.59338706643013,7.979562288852375,0,199,42,0,157,65,65,104,1611,12236.03343089431
주말,경부선,2022-10-01,29992,1587484,1870696,470337.05441854644,34491.91231485552,553504.1034092066,16.498122133435555,190.91087835802404,9.908397769797256,0,240,0,6,234,70,70,112,1744,15017.308547283546
주말,경부선,2022-11-01,25512,1350332,1654162,402934.2038728427,29429.577852988547,493604.9249336906,14.700859904163607,164.29551083341946,8.801991476,0,197,0,0,197,60,60,96,1484,13376.639609756097
주말,경부선,2022-12-01,30136,1595248,1767526,473014.18306677963,34519.30057197407,524016.26784845506,15.526452266810027,191.8647160046233,9.330321605594172,0,247,0,10,237,70,70,112,1752,14136.435717595425
주말,경부선,2023-01-01,27806,1471835,1509485,449526.98888467724,32709.06061172599,460706.0274498103,13.33316974645668,178.6700898666796,8.183884433596967,0,205,42,4,159,65,65,104,1617,12136.048355931118
주말,경부선,2023-02-01,25512,1350394,1553840,403359.8234388613,29721.67158580572,463998.1469070136,13.810670776232962,162.86677853138863,8.351944362419147,0,189,0,0,189,60,60,96,1484,12567.14081300813
주말,경부선,2023-03-01,27626,1462223,1633388,426944.66053211095,31255.80978494384,476602.8588716999,14.526602344553366,177.58219149696367,8.521553686673656,0,211,0,0,211,65,65,104,1607,13217.636032520326
